world_rank,university_name,national_rank,total_score,alumni,award,hici,ns,pub,pcp
203-304,University of Halle-Wittenberg,15-22,,5.9,8.9,7.4,7.7,29,14.6
203-304,University of Houston,89-117,,0,0,21,10.8,33.5,16.7
203-304,University of Kansas - Lawrence,89-117,,14.4,0,12.8,16.7,32.3,15.2
203-304,University of Karlsruhe,15-22,,5.9,0,10.5,12.8,30.8,15.9
203-304,University of Kentucky,89-117,,13.2,0,7.4,11.9,42.6,17.4
203-304,University of Lausanne,7,,0,0,12.8,18.1,28.1,19.2
203-304,University of Leipzig,15-22,,16.6,15.5,0,9.8,36.2,19
203-304,University of Liege,5,,10.2,0,10.5,11,29.6,23.5
203-304,University of Manitoba,Aug-17,,0,0,16.6,8.4,33.4,17.2
203-304,University of Marburg,15-22,,16.6,0,14.8,10.9,31.4,17.2
203-304,University of Medicine and Dentistry New Jersey,89-117,,0,0,23.4,12.1,34.1,19.4
203-304,University of Missouri - Columbia,89-117,,11.8,0,7.4,15,41,14.5
203-304,University of Montpellier 2,08-Dec,,13.2,0,12.8,17.3,31.3,17.6
203-304,University of Notre Dame,89-117,,15.6,0,10.5,16.6,31,18.3
203-304,University of Oregon,89-117,,13.2,0,10.5,20.6,26.7,17.1
203-304,University of Ottawa,Aug-17,,0,0,7.4,12.8,38.9,18.7
203-304,University of Saskatchewan,Aug-17,,11.8,0,16.6,5.7,33.1,17.3
203-304,University of Science and Technology of China,02-Jun,,0,0,0,9.5,44.2,21.7
203-304,University of South Carolina - Columbia,89-117,,0,0,16.6,14.2,34.5,16.9
203-304,University of South Florida,89-117,,0,0,14.8,9.6,36.4,13.6
203-304,University of Southern Denmark,4,,0,0,14.8,14.3,29.2,16.1
203-304,University of the Mediterranean (Aix-Marseille 2),08-Dec,,0,0,14.8,17.7,26.1,15.7
203-304,University of Valencia,2,,0,0,7.4,8.2,38.7,18.1
203-304,University of Vermont,89-117,,16.6,0,14.8,10.9,29.3,20.6
203-304,University of Victoria,Aug-17,,0,0,12.8,14.5,30.4,16.2
203-304,University of Warwick,24-33,,0,0,12.8,13.6,34.2,22.2
203-304,University of York,24-33,,0,0,14.8,13.7,33.4,26.9
203-304,Wake Forest University,89-117,,0,0,10.5,10.9,33.2,23.2
203-304,Washington State University - Pullman,89-117,,0,0,21,13.7,32.2,16.3
203-304,Wayne State University,89-117,,0,0,7.4,9,39.8,18.7
203-304,Western University,Aug-17,,0,0,10.5,14.7,42.4,20.8
203-304,Yeshiva University,89-117,,0,0,12.8,20.3,34.8,20.6
203-304,Yonsei University,2,,0,0,7.4,10.5,43.6,15.2
203-304,Zhejiang University,02-Jun,,0,0,0,5.7,56.3,15.8
305-402,Aristotle University of Thessaloniki,2,,0,0,7.4,2,36.9,17
305-402,Auburn University,118-140,,0,0,7.4,5.9,29.7,12.1
305-402,Autonomous University of Barcelona,5,,0,0,0,4.5,38.2,17.3
305-402,Bar-Ilan University,6,,0,0,12.8,9.5,28.4,14.7
305-402,Brigham Young University,118-140,,11.8,0,10.5,4.1,25.3,9.5
305-402,Carleton University,18,,0,0,12.8,4.9,25.8,13.2
305-402,Clemson University,118-140,,0,0,12.8,7.7,28.3,13.6
305-402,Technical University Darmstadt,23-36,,10.2,0,7.4,8.2,28.5,14.2
305-402,Dresden University of Technology,23-36,,0,0,7.4,7.9,34.2,16.2
305-402,Ecole National Superieure Mines - Paris,13-18,,17.6,25.3,0,3.5,10.2,13.6
305-402,Eindhoven University of Technology,10,,0,0,0,9.8,31.9,16.4
305-402,Eotvos Lorand University,1,,18.6,0,0,12,23.2,13.2
305-402,Federal University of Rio de Janeiro,3,,0,0,0,10.3,37.6,17.6
305-402,Flinders University,10,,18.6,0,7.4,6.2,22.6,20.8
305-402,Fudan University,7,,0,0,0,7.6,44.9,15.7
305-402,Henri Poincare University (Nancy 1),13-18,,14.4,18.9,0,2.2,24.6,14.7
305-402,Indian Institute of Science,1,,0,0,12.8,8.7,32.5,16.2
305-402,Indian Institute of Technology Kharagpur,1,,0,0,10.5,4.9,28.3,13.8
305-402,Indiana University-Purdue University at Indianapolis,118-140,,0,0,0,7.6,38.3,11.8
305-402,Industrial Physics and Chemistry Higher Educational Institution - Paris,13-18,,10.2,18.9,0,11,17.2,13
305-402,Jagiellonian University,1,,13.2,0,7.4,2.9,31.5,15.2
305-402,Jilin University,7,,0,0,0,6.2,37.7,10.4
305-402,Kanazawa University,13-18,,0,0,10.5,4.8,28.6,17.1
305-402,Kansas State University,118-140,,0,0,14.8,10.3,29.9,15.5
305-402,Korea University,4,,0,0,0,1.6,40.5,15.7
305-402,Massey University,2,,0,0,10.5,7.3,25.4,14.5
305-402,Medical College of Wisconsin,118-140,,0,0,7.4,6,28.7,13.6
305-402,Medical University of South Carolina,118-140,,0,0,14.8,5.7,30.5,15.5
305-402,Nanyang Technological University,2,,0,0,0,3.3,43.6,19.7
305-402,National Cheng Kung University,2,,0,0,0,1.6,42.6,16.7
305-402,National Chiao Tung University,2,,0,0,7.4,4.9,36,20.6
305-402,National Tsing Hua University,2,,15.6,0,0,7.4,35,21.2
305-402,Niigata University,13-18,,0,0,12.8,7,28.8,17.2
305-402,Okayama University,13-18,,0,0,7.4,11.4,34.1,17.7
305-402,Pohang University of Science and Technology,4,,0,0,7.4,7.9,27.8,26.5
305-402,Polytechnic University of Valencia,5,,0,0,7.4,9.8,26.2,13
305-402,"Royal Holloway, U. of London",34-37,,0,0,7.4,12.8,19.7,20.1
305-402,Saint Louis University,118-140,,0,12.6,7.4,2.7,24.5,15.5
305-402,Saint Petersburg State University,2,,28.8,0,0,6.2,28.9,16.2
305-402,San Diego State University,118-140,,0,0,12.8,8.6,25.5,12.1
305-402,Scuola Normale Superiore - Pisa,Sep-14,,0,0,10.5,6.5,16.7,40.3
305-402,Simon Fraser University,18,,0,0,10.5,10.9,31.8,15.9
305-402,State University of New York Health Science Center at Brooklyn,118-140,,0,15.5,10.5,7.3,15.9,11.5
305-402,Stockholm School of Economics,10,,0,16.7,0,,10.4,28.8
305-402,Sungkyunkwan University,4,,0,0,0,6.2,38,14.6
305-402,Technical University of Braunschweig,23-36,,15.6,0,7.4,6.3,23.3,12.4
305-402,Temple University,118-140,,0,0,14.8,1.6,29.2,12.4
305-402,Texas Tech University,118-140,,0,0,10.5,7.9,30.4,14
305-402,The Open University,34-37,,0,0,12.8,17.2,22.8,18.9
305-402,The University of Montana - Missoula,118-140,,8.3,0,10.5,14.3,18,16.2
305-402,The University of Texas at Dallas,118-140,,0,0,10.5,10,23.3,18.3
305-402,Thomas Jefferson University,118-140,,0,0,14.8,10.5,29.1,15.5
305-402,Tokyo Medical and Dental University,13-18,,0,0,7.4,8.2,25.4,22.4
305-402,Tulane University,118-140,,0,0,14.8,7.2,28.1,13.3
305-402,University College Dublin,2,,0,0,7.4,7.2,29.2,14
305-402,University of Arkansas at Fayetteville,118-140,,0,0,10.5,7.9,25.8,13.6
305-402,University of Bayreuth,23-36,,0,0,7.4,13.6,22.9,12.5
305-402,University of Bergen,3,,0,0,0,15.5,35.3,17.4
305-402,University of Bielefeld,23-36,,0,0,14.8,11.2,24.8,13.9
305-402,University of Bordeaux 1,13-18,,8.3,0,12.8,9.4,27.6,14.6
305-402,University of Central Florida,118-140,,0,0,16.6,4,30,13.8
305-402,University of Duesseldorf,23-36,,0,0,10.5,9.5,32.8,16.1
305-402,University of Duisburg-Essen,23-36,,0,0,7.4,8.5,29.1,14.1
305-402,University of Essex,34-37,,16.6,0,7.4,7.7,20.5,21.6
305-402,University of Exeter,34-37,,0,0,0,15.5,26.6,22.4
305-402,University of Genova,Sep-14,,0,0,14.8,4.1,33.1,13.7
305-402,University of Giessen,23-36,,0,0,7.4,4.8,30.8,14.4
305-402,University of Graz,3,,11.8,12.6,0,7.5,19.4,11.6
305-402,University of Greifswald,23-36,,0,8.9,7.4,7.1,23.3,12.1
305-402,University of Innsbruck,3,,0,10.9,0,19.7,23.5,14.7
305-402,University of Jena,23-36,,0,0,0,11.3,33.5,15.9
305-402,University of Konstanz,23-36,,0,0,10.5,11.3,22.7,12.4
305-402,University of Maastricht,10,,0,0,7.4,4.9,34,18.6
305-402,University of Naples Federico II,Sep-14,,0,0,7.4,4.3,41.4,12.1
305-402,University of Nevada - Reno,118-140,,0,0,7.4,14.6,25,15.4
305-402,University of New Hampshire - Durham,118-140,,0,0,14.8,13.4,23.5,16.6
305-402,University of Newcastle,10,,0,0,12.8,7.5,24.9,19.5
305-402,University of Oklahoma - Norman,118-140,,0,0,7.4,12.4,28.5,12.2
305-402,University of Otago,2,,0,0,10.5,8.7,31.6,22.5
305-402,University of Oulu,2,,0,0,7.4,7.2,28.5,13.7
305-402,University of Palermo,Sep-14,,0,0,12.8,7,27.1,11.4
305-402,University of Paris Dauphine (Paris 9),13-18,,0,26.8,7.4,0,10.5,13.4
305-402,University of Pavia,Sep-14,,0,0,7.4,10.5,29.8,15.3
305-402,University of Perugia,Sep-14,,0,0,7.4,8.7,28.3,14.4
305-402,University of Provence (Aix-Marseille 1),13-18,,8.3,0,7.4,9.3,22.9,11.9
305-402,University of Regensburg,23-36,,0,0,7.4,11.9,30.6,15.2
305-402,University of Rhode Island,118-140,,0,0,19.6,11.7,19.9,16
305-402,University of Stuttgart,23-36,,16.6,0,7.4,6.4,29.8,15.1
305-402,University of Szeged,1,,0,15.5,7.4,9.8,23.2,13.7
305-402,University of the Witwatersrand,2,,23.5,0,0,10.9,26.2,14.8
305-402,University of Turku,2,,0,0,10.5,11.2,32.9,16.4
305-402,University of Twente,10,,0,0,10.5,10.7,27.5,15.8
305-402,University of Ulm,23-36,,0,0,7.4,10.6,31.2,15.2
305-402,University of Warsaw,1,,16.6,0,0,3.6,32.7,15.8
305-402,Utah State University,118-140,,0,0,7.4,12.1,23.9,13.7
305-402,Vrije University Brussel,7,,16.6,0,0,10,26.7,22.1
305-402,Waseda University,13-18,,0,0,12.8,8.4,28.2,14.5
305-402,Yamaguchi University,13-18,,0,0,14.8,5.4,23,15.5
403-510,Aalto University,4,,0,0,0,10.5,28.7,13.8
403-510,"Birkbeck, University of London",38-42,,0,0,7.4,5.2,18.7,21.3
403-510,Boston College,141-166,,0,0,7.4,7.8,22.6,13
403-510,Brunel University,38-42,,0,0,10.5,0,23.6,23.7
403-510,Cairo University,1,,24.3,0,0,0,22.9,12.9
403-510,Catholic University of Chile,1,,0,0,7.4,7.8,24.1,11.9
403-510,Chiba University,19-33,,0,0,0,6.2,33.3,16.2
403-510,China Agricultural University,Sep-14,,0,0,0,7.4,29,13.2
403-510,Drexel University,141-166,,0,0,0,9.4,29,15.4
403-510,Ecole Normale Superieure - Lyon,19-23,,0,0,7.4,10.1,19.8,10.6
403-510,Ehime University,19-33,,0,0,7.4,8.8,22.4,14.3
403-510,Federal University of Minas Gerais,4,,0,0,0,6.8,30.9,14.3
403-510,Florida International University,141-166,,0,0,7.4,6.4,25.1,13.3
403-510,Gifu University,19-33,,0,0,7.4,6.1,24.9,16
403-510,Gunma University,19-33,,0,0,7.4,7.3,24.3,17.4
403-510,Hannover Medical School,37-41,,0,0,0,8.4,29.1,13.7
403-510,Hanyang University,7,,0,0,0,2.2,35,14.8
403-510,Howard University,141-166,,14.4,0,7.4,5.9,16.9,8.7
403-510,International School for Advanced Studies,15-20,,0,0,0,9.9,18.1,39.6
403-510,Istanbul University,1,,16.6,0,0,1.6,30.5,14.7
403-510,James Cook University,Dec-17,,0,0,0,13,21,19.3
403-510,Juntendo University,19-33,,0,0,10.5,5.2,20.6,10.7
403-510,Kagoshima University,19-33,,0,0,10.5,6.4,22.9,13.8
403-510,Kumamoto University,19-33,,0,0,0,8.4,26.3,15.7
403-510,La Trobe University,Dec-17,,0,0,7.4,9.8,23,16.1
403-510,Lanzhou University,Sep-14,,0,0,0,3.5,30.9,14.5
403-510,Lehigh University,141-166,,0,0,10.5,4.1,20.6,15.2
403-510,Linkoping University,11,,0,0,7.4,2.7,30.3,11.9
403-510,Medical College of Georgia,141-166,,0,0,7.4,7.5,22.5,11.2
403-510,Medical University of Graz,5,,0,10.9,7.4,3.8,18.8,10.5
403-510,Medical University of Innsbruck,5,,0,0,12.8,5.7,23.8,12.4
403-510,Michigan Technological University,141-166,,11.8,0,10.5,5.9,17.1,15.5
403-510,Mississippi State University,141-166,,0,0,7.4,6.5,24.8,12.3
403-510,Montana State University - Bozeman,141-166,,0,0,7.4,7,21.5,10.7
403-510,Murdoch University,Dec-17,,0,0,10.5,4.1,18.2,18.2
403-510,Nagasaki University,19-33,,0,0,10.5,4.3,25.4,16.4
403-510,Nankai University,Sep-14,,0,0,0,0,35.1,13.4
403-510,Nara Institute of Science and Technology,19-33,,0,0,10.5,8.9,17.4,10
403-510,National Central University,5,,0,0,0,7,26.8,15.6
403-510,National Yang Ming University,5,,0,0,0,5.8,27.7,19.9
403-510,New Mexico State University,141-166,,0,0,7.4,8.5,20.1,11.8
403-510,Nihon University,19-33,,0,0,7.4,4.9,28.5,13.5
403-510,Northeastern University,141-166,,0,0,7.4,6.9,24.5,12.3
403-510,Old Dominion University,141-166,,0,0,10.5,7,18,11.9
403-510,Osaka City University,19-33,,0,0,7.4,5.5,27,12.9
403-510,Osaka Prefecture University,19-33,,0,0,10.5,6.1,24,12.1
403-510,Polytechnic University of Turin,15-20,,0,0,12.8,1.6,24.4,12.9
403-510,Pusan National University,7,,0,0,0,6.7,28.5,13.2
403-510,Saarland University,37-41,,0,0,0,9.6,27.6,13.2
403-510,Sao Paulo State University,4,,0,0,0,2.2,34.9,15.8
403-510,Shandong University,Sep-14,,0,0,0,2.2,36.7,10.3
403-510,Southern Methodist University,141-166,,14.4,0,7.4,5.2,18.5,13.1
403-510,Sun Yat-sen University,Sep-14,,0,0,0,2.9,34.5,11.5
403-510,Swansea Univ,38-42,,0,0,7.4,7.3,22.7,19.5
403-510,The College of  William and Mary,141-166,,0,0,7.4,8.2,20.3,12.8
403-510,The Hong Kong Polytechnic University,5,,0,0,0,1.6,38.2,17.9
403-510,The University of Akron,141-166,,0,0,10.5,7,21.2,11.6
403-510,The University of Connecticut Health Center,141-166,,0,0,7.4,13.1,19.9,11.3
403-510,The University of Memphis,141-166,,0,0,7.4,9.3,19.3,10.2
403-510,The University of Tokushima,19-33,,0,0,10.5,2.9,26,17.3
403-510,Tianjin University,Sep-14,,0,0,0,0,36.1,13.7
403-510,Tokyo Metropolitan University,19-33,,0,0,7.4,10.3,22,11.4
403-510,Tokyo University of Agriculture and Technology,19-33,,0,0,7.4,6.9,23.1,19.5
403-510,University College Cork,3,,0,0,14.8,0,23,12.3
403-510,University of Bremen,37-41,,0,0,0,16.3,24.6,13.3
403-510,University of Cagliari,15-20,,0,0,10.5,7,23.3,12.9
403-510,University of Canterbury,4,,0,0,7.4,5.6,24.2,17.1
403-510,University of Chile,1,,10.2,0,0,6,30.6,14.4
403-510,University of Ferrara,15-20,,0,0,7.4,3.3,25.9,15.5
403-510,University of Fribourg,8,,0,0,10.5,10.3,15.7,16
403-510,University of Granada,7,,0,0,0,5.7,31.8,14.5
403-510,University of Haifa,7,,0,0,7.4,3.8,24.8,11.8
403-510,University of Hannover,37-41,,0,0,7.4,6.1,25.6,12.3
403-510,University of Idaho,141-166,,0,0,7.4,7.4,21.9,13.4
403-510,University of Jyvaskyla,4,,0,0,7.4,6.2,22.8,11.2
403-510,University of Kansas Medical Center,141-166,,0,0,12.8,5.2,19.7,10.8
403-510,University of KwaZulu-Natal,3,,0,0,7.4,11,22.9,11.9
403-510,University of Lille 1,19-23,,0,0,7.4,8.9,20.3,10.5
403-510,University of Lisbon,1,,0,8.9,0,4.1,24.5,11.9
403-510,University of Ljubljana,1,,0,0,0,3.8,32.3,11.7
403-510,University of Louisville,141-166,,0,0,0,4.4,30.7,15.2
403-510,University of Maine,141-166,,0,0,7.4,10.8,19.2,13.6
403-510,"University of Maryland, Baltimore",141-166,,0,0,12.8,7,20.1,15.1
403-510,University of Nebraska Medical Center,141-166,,0,0,14.8,7,21,12
403-510,University of New England,Dec-17,,0,0,7.4,9.8,17.2,18.2
403-510,University of Nice Sophia Antipolis,19-23,,0,0,7.4,11.9,20,11
403-510,University of Porto,1,,0,0,0,4.5,31,14.1
403-510,University of Pretoria,3,,0,0,0,9.6,26.5,12.7
403-510,University of Quebec,20,,0,0,0,7,32.2,14.8
403-510,University of Rennes 1,19-23,,0,0,7.4,7.5,26.7,12.9
403-510,University of Roma - Tor Vergata,15-20,,0,0,0,6.7,32.5,15.4
403-510,University of Rostock,37-41,,0,0,7.4,6,27.1,12.9
403-510,University of Sevilla,7,,0,0,0,10,29.3,13.9
403-510,University of Sherbrooke,20,,0,0,7.4,8.3,23,11.5
403-510,University of Siena,15-20,,0,0,0,7.9,26.6,16.6
403-510,University of Strathclyde,38-42,,0,0,0,5,28,16.6
403-510,University of Surrey,38-42,,0,0,7.4,1.6,27.5,20.6
403-510,University of Tasmania,Dec-17,,0,0,7.4,7,23.3,20.2
403-510,University of Tromso,4,,0,0,10.5,7.3,21.8,11.4
403-510,University of Wisconsin - Milwaukee,141-166,,13.2,0,0,5.4,24.8,11.4
403-510,University of Wollongong,Dec-17,,0,0,0,8.7,23.8,17.6
403-510,University of Wyoming,141-166,,0,0,7.4,10.3,22.9,13.9
403-510,University of Zaragoza,7,,0,0,7.4,4.3,28.1,13.3
403-510,Victor Segalen Bordeaux 2 University,19-23,,0,0,7.4,9.2,22.3,11.4
403-510,Victoria University of Wellington,4,,14.4,0,0,9.4,21.4,15.7
403-510,Vienna University of Technology,5,,0,0,0,13.9,26.2,13.3
403-510,West Virginia University,141-166,,0,0,0,7.5,28.4,13.7
403-510,York University,20,,0,0,0,7.8,27.4,12.8
1,Harvard University,1,100,100,100,100,100,100,74.1
2,Stanford University,2,73.7,40,78.7,86.6,68.9,71.6,66.9
3,"University of California, Berkeley",3,71.4,69,77.1,68.8,70.6,70,53
4,University of Cambridge,1,70.4,90.3,91.5,53.6,56,64.1,65
5,Massachusetts Institute of Technology (MIT),4,69.6,71,80.6,65.6,68.7,61.6,53.9
6,California Institute of Technology,5,65.4,52.8,69.1,57.4,66.1,49.7,100
7,Columbia University,6,62.5,72.4,65.7,56.5,52.3,70.5,46.6
8,Princeton University,7,58.9,59.3,80.4,61.9,40.5,44.8,59.3
9,University of Chicago,8,57.1,67.4,81.9,50.5,39.5,51.9,41.3
10,University of Oxford,2,56.8,59,57.9,48.4,52,66,45.7
11,Yale University,9,54.9,48.5,43.6,57,55.7,62.4,48.7
12,Cornell University,10,54.1,41.5,51.3,54.1,52.3,64.7,40.4
13,"University of California, Los Angeles",11,52.4,24.4,42.8,57.4,48.9,75.7,36
14,"University of California, San Diego",12,50.3,15.8,34,59.7,53,66.7,47.4
15,University of Pennsylvania,13,49,31.7,34.4,58.3,41.3,69,39.2
16,University of Washington,14,48.3,25.7,31.8,53.1,49.5,74.1,28
17,University of Wisconsin - Madison,15,47.4,38.4,35.5,52.6,41.2,68.1,28.8
18,"University of California, San Francisco",16,46.6,0,36.8,54.1,51.5,60.8,47.5
19,The University of Tokyo,1,46.4,32.2,14.1,43.1,51.9,83.3,35
20,The Johns Hopkins University,17,45.5,45.8,27.8,43.1,48.7,68.5,24.8
21,University of Michigan - Ann Arbor,18,44.2,38.4,0,60.6,41.7,78.1,31.4
22,University College London,3,44,31.2,32.2,38.6,44.3,65.8,35.4
23,Kyoto University,2,43.5,35.4,33.4,38.6,35.8,70.6,31.5
24,Swiss Federal Institute of Technology Zurich,1,43.1,35.9,36.3,36.1,38.1,53.6,56
24,University of Toronto,1,43.1,25,19.3,38.6,37,79.8,45.8
26,University of Illinois at Urbana-Champaign,19,42.9,37.1,36.6,43.8,36.1,60.3,26.9
27,"The Imperial College of Science, Technology and Medicine",4,42.4,18.6,37.4,39.9,38.2,61.8,39.4
28,"University of Minnesota, Twin Cities",20,40.4,32.2,16.3,50,34.8,67.5,24.4
29,Washington University in St. Louis,21,40.1,22.4,26,38.6,43.2,56,40.5
30,Northwestern University,22,38.1,19.4,18.9,46.7,32.8,58.7,37.7
31,New York University,23,37.4,34.1,24.5,39.9,34.4,53.4,25.9
32,Duke University,24,37.2,18.6,0,46.1,42.6,63.4,39.8
32,Rockefeller University,24,37.2,20.2,58.6,29.2,42.2,22.3,37.9
34,University of Colorado at Boulder,26,36.4,14.8,30.8,39.3,39.4,45.5,30.4
35,University of British Columbia,2,36.3,18.6,18.9,31.8,31.9,65.8,38.2
36,"University of California, Santa Barbara",27,35.5,0,35.3,41.9,34.9,43.2,35.4
37,"University of Maryland, College Park",28,34.6,23.1,20,40.6,30.4,53.1,26.1
38,University of North Carolina at Chapel Hill,29,33.9,11.2,16.3,37.9,28.8,62,29.1
39,The University of Texas at Austin,30,33.7,19.4,16.7,46.1,26.7,54.2,21.3
40,The University of Manchester,5,33.6,24.4,18.9,28.2,28.3,60.5,30.4
41,The University of Texas Southwestern Medical Center at Dallas,31,33.3,21.7,33.2,30.9,31.7,39.3,32.1
42,Pennsylvania State University - University Park,32,33.1,12.5,0,45.5,38.5,58.9,24.4
42,Pierre and Marie  Curie University - Paris 6,1,33.1,36.6,23.6,23.1,27.3,58.2,21.3
42,Vanderbilt University,32,33.1,18.6,29.6,30.9,23.1,50.3,36
45,University of Copenhagen,1,33,27.4,24.2,26.3,25.4,54.5,33.4
46,"University of California, Irvine",34,32.8,0,29.4,37.2,27.5,49.3,32.9
47,Utrecht University,1,32.4,27.4,20.9,28.2,28.8,53.3,26
48,"University of California, Davis",35,32.2,0,0,46.7,31.7,63.2,30
49,University of Paris Sud (Paris 11),2,32.1,33.3,46.2,14.6,20.4,47,23.1
50,University of Southern California,36,32,0,26.8,38.6,24.7,52.6,26.7
51,Karolinska Institute,1,31.6,27.4,27.3,31.8,18.3,50.1,25.7
52,University of Pittsburgh,37,31.3,22.4,0,40.6,23.2,63.1,28.3
53,University of Zurich,2,31,11.2,26.8,24.7,27.5,50.2,32.4
54,"Rutgers, The State University of New Jersey",38,30.9,13.7,20,39.9,27.9,44,23.8
55,The University of Edinburgh,6,30.8,20.2,16.7,26.3,32.3,49.7,30
55,University of Munich,1,30.8,33.1,22.9,16.3,25.6,52.7,31.8
57,Technical University Munich,2,30.5,41.1,23.6,25.3,18.9,44.8,30.6
58,University of Florida,39,30.4,20.2,0,37.2,22.7,64.9,26.6
59,The Australian National University,1,30,15.8,12.6,35.7,30.5,43.4,32.2
60,McGill University,3,29.9,25.7,0,32.6,22.8,60.3,34.3
61,University of Bristol,7,29.5,9.7,17.9,28.2,28.1,47.8,33.5
62,Carnegie Mellon University,40,29.3,31.2,32.8,31.8,11.3,35.7,30.9
62,The Ohio State University - Columbus,40,29.3,15.8,0,41.9,19.8,63,20.3
64,University of Oslo,1,29,23.1,33.4,17.9,17,46.7,29.8
65,Purdue University - West Lafayette,42,28.8,16.8,16.7,30.1,22,52.8,21
65,The Hebrew University of Jerusalem,1,28.8,29.6,20,24.2,22.9,44.1,28.7
67,University of Heidelberg,3,28.4,17.7,27.2,17.9,20.4,49.2,29.3
68,Osaka University,3,28.3,11.2,0,26.3,28.2,63.6,28.7
68,University of Helsinki,1,28.3,16.8,17.9,21.9,20.8,53.8,30.1
70,Moscow State University,1,28.1,49.1,34.2,0,8.3,53.2,33.4
71,Brown University,43,27.9,16.8,13.6,31.8,26.6,40.4,29.9
71,Uppsala University,2,27.9,23.1,32.2,12.6,19.3,49.5,21
73,Ecole Normale Superieure - Paris,3,27.7,53.4,24.5,12.6,17.2,25.9,56.2
73,University of Melbourne,2,27.7,13.7,14.1,23.1,19.6,58.1,26.7
73,University of Rochester,44,27.7,29.6,8.9,27.3,21.6,44.1,36.1
76,Leiden University,2,27.6,22.4,15.5,28.2,17.7,47.6,28.8
77,The University of Sheffield,8,27.5,20.9,14.1,21.9,25.5,47,29.7
77,University of Arizona,45,27.5,0,0,30.1,36.5,54.2,25.9
79,Tohoku University,4,27.1,16.8,0,21.9,23.2,63.9,28.9
79,University of Utah,46,27.1,0,11.5,30.1,29.2,48,26.1
81,King's College London,9,26.8,14.8,23.1,21.9,15.3,48.7,28.6
82,University of Nottingham,10,26.5,13.7,20,24.2,16,47.9,28.7
83,Boston University,47,25.6,13.7,0,30.1,27.5,51.5,17.8
83,Case Western Reserve University,47,25.6,36.3,11.5,21.9,15.2,42.1,31.5
83,Michigan State University,47,25.6,11.2,0,35.7,22.4,51.6,18.5
86,Stockholm University,3,25.5,26.3,29.6,16.3,19.2,36.2,19.7
87,University of Basel,3,25.4,23.1,17.1,20.6,21.1,35.7,34.9
88,Texas A&M University - College Station,50,25.2,0,0,32.6,24.5,55,20.9
89,McMaster University,4,25.1,14.8,18.9,21.9,14.7,46.1,26.4
90,University of Goettingen,4,24.9,34.5,20,14.6,16.5,40.3,25.6
91,University of Birmingham,11,24.8,22.4,10.9,21.9,15.6,47.3,28
92,Indiana University Bloomington,51,24.6,12.5,17.9,26.3,21.2,39.3,18.1
93,Arizona State University - Tempe,52,24.5,0,14.1,24.2,28.2,43.1,18.9
93,Aarhus University,2,24.5,13.7,18.9,7.3,24.5,48.2,27
95,University of Virginia,53,24.4,0,0,32.6,26.3,47.2,25.5
96,University of Freiburg,5,24.2,22.4,20.9,16.3,19.2,38,24.2
97,Lund University,4,24.1,26.3,0,25.3,18,51.7,18.6
97,Rice University,54,24.1,19.4,21.9,21.9,19.7,29.5,29.3
97,University of Bonn,6,24.1,17.7,20,14.6,20.2,41.3,24.7
97,University of Sydney,3,24.1,17.7,0,20.6,16.4,58,26.8
101-151,Baylor College of Medicine,55-70,,0,0,19.3,30.9,43.4,26.1
101-151,Cardiff University,Dec-16,,0,16.3,7.3,18.9,43.8,24.8
101-151,Catholic University of Leuven,01-Apr,,0,0,21.9,15.6,50.8,24.8
101-151,Catholic University of Louvain,01-Apr,,12.5,13.6,17.9,12.4,42.8,27.7
101-151,Dartmouth College,55-70,,21.7,0,21.9,20.6,31.4,28.7
101-151,Emory University,55-70,,0,0,30.9,21.3,50.5,23.5
101-151,Georgia Institute of Technology,55-70,,14.8,0,25.3,23.6,45.6,28.2
101-151,Ghent University,01-Apr,,7.9,15.5,16.3,7.7,52.7,29.5
101-151,Kyushu University,05-Jul,,0,0,14.6,17.7,52.3,21.5
101-151,Mayo Medical School,55-70,,0,0,25.3,15.2,49.2,26.4
101-151,Nagoya University,05-Jul,,0,14.1,16.3,20.7,51.4,25.4
101-151,National University of Singapore,1,,0,0,14.6,13,57.3,27.9
101-151,North Carolina State University - Raleigh,55-70,,0,0,28.2,17.4,43.7,19
101-151,Oregon State University,55-70,,13.7,0,27.3,24.4,37.2,28.2
101-151,Swiss Federal Institute of Technology of Lausanne,04-May,,0,0,24.2,17.3,40.8,43.3
101-151,Technion-Israel Institute of Technology,02-Mar,,16.8,23.1,14.6,14.6,39.8,23.9
101-151,Tel Aviv University,02-Mar,,0,0,24.2,20.5,52.2,28.1
101-151,The University of Georgia,55-70,,0,0,26.3,19.8,44.6,17.9
101-151,The University of Glasgow,Dec-16,,11.2,0,21.9,15.5,43.4,23.4
101-151,The University of Queensland,04-May,,14.8,0,12.6,22,54.5,26.3
101-151,The University of Western Australia,04-May,,15.8,14.1,17.9,10.5,41.2,26.7
101-151,Tokyo Institute of Technology,05-Jul,,14.8,0,21.9,23.9,46.6,30.6
101-151,Tufts University,55-70,,16.8,16.7,23.1,14.4,39.3,26
101-151,University Libre Bruxelles,01-Apr,,19.4,18.9,12.6,14.3,31.6,26.8
101-151,University of Alberta,05-Jun,,13.7,0,19.3,19.1,55.1,28.6
101-151,University of Amsterdam,03-May,,7.9,0,19.3,23.6,50.2,23.8
101-151,"University of California, Riverside",55-70,,14.8,0,27.3,25.7,35.9,27.6
